artist_id,song_id,danceability,duration_ms,energy,key,loudness,acousticness,instrumentalness,liveness,valence,tempo
6XyY86QOPPrYVGvF9ch6wz,6Wx88Mv6b9ofjKMKkdwOJd,0.493,268613.0,0.808,5.0,-3.365,0.000235,0.0,0.0983,0.38,117.971
6XyY86QOPPrYVGvF9ch6wz,18lR4BzEs7e3qzc0KVkTpU,0.623,205613.0,0.93,5.0,-5.285,0.0141,1.64e-06,0.138,0.287,120.119
0Ty63ceoRnnJKVEYP0VQpk,4NlLZ2WkhJamPaeD9MfL5c,0.577,286107.0,0.605,0.0,-10.031,0.0122,0.0,0.106,0.141,112.011
5BtHciL0e0zOP7prIHn3pP,6wDVNn4STCopwfQ9lFO2iR,0.526,189320.0,0.928,1.0,-3.734,3.98e-05,0.0401,0.0845,0.544,99.004
3Ngh2zDBRPEriyxQDAMKd1,3P0DZ53GdMzwP3brAHaMkU,0.256,228707.0,0.788,6.0,-5.263,0.0298,0.0,0.707,0.429,80.718
3Ngh2zDBRPEriyxQDAMKd1,7p7rK9Iuef2LZzZt7hkP6S,0.571,180947.0,0.963,7.0,-3.54,0.0195,0.0,0.104,0.911,160.033
4gzpq5DPGxSnKTe4SA8HAU,0FDzzruyVECATHXKHFs9eJ,0.551,268467.0,0.636,6.0,-7.125,0.00713,0.00203,0.217,0.153,124.996
4gzpq5DPGxSnKTe4SA8HAU,3AJwUDP919kvQ9QcozQPxg,0.429,266773.0,0.661,11.0,-7.227,0.00239,0.00013,0.234,0.285,173.365
4gzpq5DPGxSnKTe4SA8HAU,1mea3bSkSGXuIRvnydlB5b,0.485,242373.0,0.619,5.0,-7.115,0.0941,3.31e-06,0.109,0.416,138.017
2xiIXseIJcq3nG7C8fHeBj,56sk7jBpZV0CD31G9hEU3b,0.553,231400.0,0.853,8.0,-3.668,0.000684,0.0,0.126,0.506,122.023
0vWCyXMrrvMlCcepuOJaGI,6GIrIt2M39wEGwjCQjGChX,0.423,206520.0,0.94,1.0,-4.012,0.00166,0.0,0.178,0.505,149.934
1yxSLGMDHlW21z4YXirZDS,3CNqo3gYrfexdrtjFmC9he,0.835,272533.0,0.706,5.0,-3.219,0.104,0.0,0.137,0.843,94.086
1yxSLGMDHlW21z4YXirZDS,6btyEL6NwUa97Nex9cZFvo,0.646,213067.0,0.923,9.0,-3.108,0.0109,0.0,0.746,0.74,153.659
1ZKqrja0WvbSssYNFO3lzs,4dWjQ3wEfW6KPaaxCoaPH4,0.595,224093.0,0.923,7.0,-3.449,0.0693,0.0,0.505,0.782,125.029
5Y5TRrQiqgUO4S36tzjIRZ,6ucR4KfvsBFWCMVFDvyKKl,0.654,184400.0,0.61,8.0,-6.051,0.0399,0.0,0.101,0.118,118.032
2gBjLmx6zQnFGQJCAQpRgw,3PfeAZbfD134dO6OiLDA2Y,0.464,237987.0,0.756,1.0,-6.094,0.0413,0.0,0.124,0.0914,180.094
0C0XlULifJtAgn6ZNCW2eu,7oK9VyNzrYvRFo7nQEYkWN,0.33,222587.0,0.936,1.0,-3.66,0.00108,0.0,0.0926,0.234,148.112
0C0XlULifJtAgn6ZNCW2eu,7HGTkn2aX7MNdKs7nV2xBt,0.5,197160.0,0.975,10.0,-3.176,0.000123,0.000379,0.104,0.767,138.005
37DdwREpvvQHmGLFEZ4h0Q,0lhlNZ2Oe3LQHVuuR2W7k3,0.645,176453.0,0.986,4.0,-7.058,0.168,0.0147,0.19,0.514,144.972
66CXWjxzNUsdJxJ2JdwvnR,12KUFSHFgT0XCoiSlvdQi4,0.687,214840.0,0.702,7.0,-5.324,0.0064,4.35e-05,0.204,0.284,129.956
0jnsk9HBra6NMjO2oANoPY,4bZd0nRuX8HyjeXAUBczvm,0.693,223800.0,0.822,4.0,-5.441,0.00616,1.79e-06,0.315,0.763,126.035
0jnsk9HBra6NMjO2oANoPY,3bC1ahPIYt1btJzSSEyyrF,0.747,224653.0,0.937,0.0,-5.746,0.0208,0.0,0.29,0.739,103.976
2qxJFvFYMEDqd7ui6kSAcq,6izhPbUU3CeMYvTT74YHnb,0.561,238800.0,0.877,9.0,-2.215,0.00621,8.11e-06,0.28,0.375,130.003
4gwpcMTbLWtBUlOijbVpuu,6Z8R6UsFuGXGtiIxiD8ISb,0.656,192790.0,0.821,0.0,-4.838,0.000194,0.00232,0.101,0.791,117.948
4gwpcMTbLWtBUlOijbVpuu,1leXuBiWQMgbvOIIedqbLB,0.764,223187.0,0.579,5.0,-5.086,0.00694,0.000654,0.0305,0.975,100.0
4gwpcMTbLWtBUlOijbVpuu,0NYLOvWtvJdyeceDD9R1Vw,0.611,202922.0,0.856,9.0,-4.466,0.00489,2.82e-06,0.0997,0.361,123.001
53M4Iv2RkzzxFFvW2B1jhC,3Yr4gXagnFlMVGpMWAkOPa,0.666,210200.0,0.839,6.0,-4.629,0.00718,0.0,0.054,0.792,122.955
5WUlDfRSoLAfcVSX1WnrxN,4VrWlk8IQxevMvERoX08iC,0.399,216120.0,0.787,1.0,-2.88,0.0197,6.07e-05,0.0685,0.572,117.089
74XFHRwlV6OrjEM0A2NCMF,1j8z4TTjJ1YOdoFEDwJTQa,0.61,296520.0,0.893,9.0,-3.681,0.154,4.41e-05,0.021,0.673,104.031
6yhD1KjhLxIETFF7vIRf8B,2rHEKIctPLM0wPlD9TyYeF,0.57,203500.0,0.896,6.0,-2.407,0.00329,0.0,0.195,0.897,135.073
6yhD1KjhLxIETFF7vIRf8B,4TJm8X1IrngREA84YHPz5G,0.538,185250.0,0.926,7.0,-2.553,4.41e-05,0.0,0.0876,0.636,124.993
6yhD1KjhLxIETFF7vIRf8B,3MpwmYhbhZxMv1GNm1Db0K,0.672,199750.0,0.808,4.0,-3.561,0.332,0.0,0.0807,0.831,89.978
5ndkK3dpZLKtBklKjxNQwT,3r9bgSJlJz2zlevcBRYXko,0.677,216120.0,0.722,7.0,-7.088,0.0213,0.0,0.207,0.0483,125.091
0daugAjUgbJSqdlyYNwIbT,7eVZbb7YlUopOeuiyRcJ7Z,0.72,393750.0,0.77,11.0,-4.069,0.035,1.88e-06,0.46,0.217,127.996
5ChF3i92IPZHduM7jN3dpg,4ptig7QTAVpX2U8Oxxv7ZO,0.637,282279.0,0.911,6.0,-4.272,0.00411,0.0494,0.0772,0.257,128.007
5R3Hr2cnCCjt220Jmt2xLf,6fufYn0nM2OzxMY6VnBpkB,0.653,293013.0,0.773,1.0,-4.972,0.0102,5.31e-05,0.271,0.558,127.961
3AQRLZ9PuTAozP28Skbq8V,38xWaVFKaxZlMFvzNff2aW,0.63,261427.0,0.698,10.0,-4.51,0.173,0.0,0.0789,0.529,94.023
0daugAjUgbJSqdlyYNwIbT,7deMAYxxdfvibg3HxhbWJ7,0.568,281125.0,0.936,0.0,-5.209,0.0161,0.0421,0.371,0.34,140.003
0daugAjUgbJSqdlyYNwIbT,0rCuRc07y6l1kPYj0JSRg5,0.527,214326.0,0.845,1.0,-3.721,0.0335,0.000127,0.144,0.554,128.023
3AQRLZ9PuTAozP28Skbq8V,37sINbJZcFdHFAsVNsPq1i,0.491,245467.0,0.885,3.0,-4.121,0.00219,0.0,0.0741,0.641,166.992
1Cs0zKBU1kc0i8ypK3B9ai,2QD4C6RRHgRNRAyrfnoeAo,0.7,201000.0,0.925,8.0,-1.648,0.167,0.0,0.28,0.79,130.036
0X2BH1fck6amBIoJhDVmmJ,1ip2IGDWMrUmlaepEbWlL8,0.255,250267.0,0.652,5.0,-5.909,0.246,0.0,0.119,0.281,189.633
7qG3b048QCHVRO5Pv1T5lw,1yM7GIEJ2QniupkEHOyp0a,0.722,243240.0,0.845,7.0,-3.527,0.073,0.0,0.0597,0.945,90.958
66CXWjxzNUsdJxJ2JdwvnR,7xoUc6faLbCqZO6fQEYprd,0.628,197267.0,0.593,8.0,-5.036,0.093,1.65e-06,0.096,0.104,125.026
6s22t5Y3prQHyaHWUN1R1C,3i78lP1Y35m6Idgnbw9Fow,0.521,239693.0,0.716,0.0,-4.838,0.00543,0.0,0.0895,0.389,105.034
6eUKZXaKkcviH0Ku9w2n3V,1huvTbEYtgltjQRXzrNKGi,0.806,219840.0,0.608,1.0,-7.008,0.0113,0.0,0.635,0.849,95.049
2ysnwxxNtSgbb9t1m2Ur4j,7q0aQpiLv5tIsupcgQ3Ny4,0.717,200733.0,0.455,5.0,-8.303,0.0846,0.0,0.11,0.389,127.81
6MDME20pz9RveH9rEXvrOM,3s4U7OHV7gnj42VV72eSZ6,0.799,227833.0,0.586,11.0,-6.735,0.162,2.03e-06,0.193,0.549,120.97
6VxCmtR7S3yz4vnzsJqhSV,21Go4aMyLGP40ANI3TU0Fn,0.708,218228.0,0.779,7.0,-6.28,0.421,0.00176,0.115,0.46,142.012
7DwRUbeUcxTRgfRGdqCpe7,5zwtK7TjoKdRCS3NloH4g5,0.603,116049.0,0.687,7.0,-5.578,0.00193,0.477,0.0676,0.234,140.042
6JL8zeS1NmiOftqZTRgdTz,3cU2wBxuV6nFiuf6PJZNlC,0.655,184227.0,0.782,1.0,-4.789,0.375,0.0,0.317,0.832,79.427
0jnsk9HBra6NMjO2oANoPY,6N9ZOtguCnnrvwH7zD82WJ,0.657,190186.0,0.827,5.0,-4.036,0.000704,0.00534,0.065,0.69,145.889
2gBjLmx6zQnFGQJCAQpRgw,06iMqWThw4w8fTFyccvOwr,0.854,291782.0,0.692,7.0,-6.625,0.0668,0.0,0.247,0.753,101.865
7H55rcKCfwqkyDFH9wpKM6,6lanRgr6wXibZr8KgzXxBl,0.421,285120.0,0.407,10.0,-7.445,0.309,0.000961,0.11,0.161,139.028
4AK6F7OLvEQ5QYCBNiQWHq,5O2P9iiztwhomNh8xkR9lJ,0.672,226600.0,0.52,8.0,-7.747,0.859,0.0,0.115,0.37,120.001
7o95ZoZt5ZYn31e9z1Hc0a,1D1nixOVWOxvNfWi0UD7VX,0.706,259333.0,0.801,5.0,-6.333,0.00577,0.0,0.0822,0.63,100.013
29WzbAQtDnBJF09es0uddn,2nGFzvICaeEWjIrBrL2RAx,0.739,215360.0,0.511,9.0,-7.844,0.167,1.34e-06,0.133,0.542,96.038
3mC1KCuZZSOlN8Z0M56VsV,3gZlgIyG8blRDwrXgQ3lDe,0.516,233707.0,0.318,11.0,-14.061,0.51,0.0,0.125,0.525,76.199
07YZf4WDAMNwqr4jfgOZ8y,0HFx7PLqzGxSfN59j3UHmR,0.775,207719.0,0.68,0.0,-5.508,0.00906,0.0,0.109,0.656,114.025
